C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.23177385;0.3610812;0.70496154;0.38029084;0.46177375;0.38150975;0.86012477;0.42780426;0.5204292;1.0;0.54301065;0.2170104;
0.21392383;0.35084957;0.7161483;0.38592577;0.47529468;0.38434124;0.8890933;0.43242598;0.5345798;1.0;0.5352785;0.20584065;
0.22388922;0.42012328;0.73427254;0.38167745;0.46234438;0.4183442;1.0;0.44498095;0.516473;0.9861783;0.5224127;0.2043318;
0.21919158;0.37390706;0.6805012;0.3588816;0.4190743;0.40587902;1.0;0.4289726;0.5052407;0.9669232;0.5101621;0.19842613;
0.21784684;0.37791878;0.67037445;0.35531956;0.37369627;0.37141758;0.96894103;0.42528528;0.5241496;1.0;0.5063774;0.19165829;
0.21048965;0.38103044;0.6282459;0.31295827;0.33085936;0.33918592;0.8803206;0.40263274;0.48230034;1.0;0.50569415;0.18328662;
0.24373844;0.4153661;0.6682626;0.3502451;0.33877125;0.35491592;0.89864475;0.40154892;0.47198248;1.0;0.50105524;0.19166219;
0.25587252;0.40663904;0.63735294;0.32623273;0.31324905;0.37957937;1.0;0.38743854;0.43158105;0.94698095;0.48706082;0.20281263;
0.2365737;0.3957158;0.59958696;0.29488978;0.2799306;0.36976725;1.0;0.36540854;0.39020386;0.84795237;0.4361269;0.18966956;
0.21889476;0.31726283;0.576946;0.29446226;0.26211125;0.34653538;1.0;0.36378667;0.3645543;0.7748144;0.39053422;0.18467984;
0.2132634;0.3056029;0.5749258;0.28381315;0.24903707;0.34589848;1.0;0.35225138;0.3449511;0.7464244;0.36331418;0.17368452;
0.23915404;0.34225994;0.62483764;0.30380073;0.28681996;0.36387244;1.0;0.3750095;0.39259538;0.8214462;0.40201995;0.1854163;
0.25868466;0.37146354;0.63343847;0.3188816;0.27297366;0.36066654;1.0;0.39278027;0.41701457;0.91684014;0.4441908;0.19596681;
0.23106728;0.33302808;0.5973619;0.29762152;0.25015408;0.34632847;1.0;0.3557421;0.3737924;0.8754362;0.4198783;0.1717468;
0.19328366;0.26992252;0.55149883;0.27651754;0.23315819;0.34339735;1.0;0.33255076;0.35133728;0.8277474;0.39236745;0.14024591;
0.16894814;0.24843511;0.5226033;0.24664424;0.23100941;0.35058007;1.0;0.329135;0.33511335;0.79200315;0.36454406;0.13053313;
0.18045981;0.27679154;0.5499984;0.27171746;0.24767543;0.35408527;1.0;0.33376428;0.33763397;0.8399444;0.39839125;0.15369578;
0.31678918;0.4225989;0.65606976;0.35701284;0.32607806;0.40765402;1.0;0.40683496;0.47156656;0.9293536;0.5319004;0.3058357;
0.8151884;0.87160337;0.9172537;0.67005175;0.65234023;0.6101142;1.0;0.6294199;0.6615159;0.9178825;0.67416245;0.5906299;
0.6540086;0.7290847;0.6814309;0.4703686;0.5045917;0.6178864;1.0;0.72506374;0.53048176;0.62974876;0.5092858;0.4545599;
0.3544895;0.3950872;0.4014469;0.24211884;0.27391735;0.49363425;1.0;0.5241503;0.32386252;0.3811621;0.35121867;0.2599492;
0.2801183;0.2734793;0.40678403;0.22972578;0.2384219;0.48725396;1.0;0.37878197;0.24007201;0.33632872;0.3012315;0.21965364;
0.30204305;0.33286828;0.48489246;0.25466567;0.25154698;0.40745586;1.0;0.3705933;0.2437896;0.37076414;0.3183028;0.22324038;
0.29153773;0.3255546;0.4850429;0.23008084;0.24376713;0.35355067;1.0;0.3904654;0.23149827;0.36404794;0.27970058;0.20312774;
0.25773793;0.29314336;0.4965437;0.2350827;0.2266133;0.35835505;1.0;0.3703005;0.22482926;0.3597932;0.2715451;0.19177029;
0.26758164;0.31134516;0.5432139;0.24571541;0.24061503;0.36702278;1.0;0.35165954;0.23323843;0.37843114;0.3037174;0.19960463;
0.26722175;0.3351824;0.5979515;0.26405886;0.24363446;0.3785888;1.0;0.34541312;0.23859826;0.3851756;0.31295305;0.21270326;
0.23146452;0.32451314;0.6128731;0.2666209;0.21625133;0.37518093;1.0;0.34599468;0.22787695;0.32494748;0.2983659;0.19681266;
