C;C^;D;D^;E;F;F^;G;G^;A;A^;B;baseNote;variation1;variation2;
0.5062705;1.0;0.509919;0.19735733;0.31925145;0.93553454;0.43207264;0.1656137;0.3988281;0.3912276;0.5175068;0.29869273;[A#];[MIN];[];
0.64025086;1.0;0.54827327;0.28786963;0.33976468;0.79790825;0.51264364;0.24938555;0.46644476;0.4231088;0.52438474;0.41244686;[A#];[MIN];[];
0.7524771;0.9715266;0.5860625;0.3070031;0.38148677;1.0;0.51644343;0.30064073;0.515836;0.48365697;0.5517954;0.45437983;[A#];[MIN];[];
0.7000709;0.9216749;0.5069812;0.20686863;0.33160782;1.0;0.3606077;0.19604008;0.42093664;0.42636332;0.46912077;0.36404258;[A#];[MIN];[];
0.6200996;0.93161964;0.43681955;0.13941218;0.29422;1.0;0.3544972;0.13983645;0.36162716;0.33212197;0.40542102;0.2984352;[A#];[MIN];[];
0.55278134;0.8955016;0.41762087;0.11783707;0.28352353;1.0;0.33488783;0.10754474;0.33448467;0.31997874;0.40218964;0.2880735;[A#];[MIN];[];
0.5504746;0.91353536;0.42944747;0.11431783;0.29632732;1.0;0.3233951;0.095913954;0.33833328;0.32408857;0.4057527;0.27591303;[A#];[MIN];[];
0.5722372;0.96686405;0.44031787;0.11196381;0.3040672;1.0;0.3228944;0.09491156;0.34775582;0.34102702;0.44239154;0.30106676;[A#];[MIN];[];
0.61663455;1.0;0.45338443;0.12832241;0.3003171;0.9916358;0.32625148;0.11345767;0.3787033;0.36981022;0.46122018;0.30184487;[A#];[MIN];[];
0.6315962;1.0;0.47581547;0.17357315;0.31701663;0.9438447;0.3694919;0.20402968;0.39502516;0.381186;0.458195;0.35359263;[A#];[MIN];[];
0.871076;1.0;0.6509573;0.42002514;0.5473829;0.98557436;0.52048284;0.3841209;0.5737361;0.53827417;0.53502613;0.48548415;[A#];[MIN];[];
0.97813845;0.88531935;0.7762519;0.5632159;0.63723975;1.0;0.93534523;0.74978393;0.7229109;0.700017;0.77261615;0.7071894;[A#];[MIN];[];
0.7825239;1.0;0.7476984;0.3936412;0.4980331;0.99854845;0.9671834;0.75286806;0.61542106;0.6481964;0.8716076;0.69519424;[A#];[MIN];[];
0.7209397;1.0;0.62579244;0.2734947;0.38075945;0.79584754;0.4719411;0.4188427;0.4997673;0.5024774;0.68787646;0.49707615;[A#];[MIN];[];
